id,title,overview,genres,vote_average,original_language,keywords
1194963,Noise,"Ju-young is a young woman with a hearing impediment who decides to investigate her sister's inexplicable disappearance, last seen in her apartment. Feeling more and more cornered, Ju-young begins to hear strange sounds and sense an evil presence in the apartment.","Horror, Thriller",6.8,ko,inter-floor noise
1232449,Young Hearts,"14-year-old Elias increasingly feels like an outsider in his village. When he meets his new neighbour of the same age, Alexander, Elias is confronted with his burgeoning sexuality.","Drama, Romance",8.541,nl,"coming out, friendship, sexuality, identity crisis, male friendship, coming of age, love, teenage boy, first love, lgbt, lgbt teen, grandfather grandson relationship, gay theme, playful, male, boys' love (bl), boy, gay teenager, amused, young hearts"
501190,"God, Sex and Truth","'God, Sex and Truth' delves into the world of sex where it digs out and projects the deepest dignity, divinity of the act and a women's true purpose of her sexuality.",Romance,5.8,en,"taunting, sexual exploration"
206487,Predestination,"Predestination chronicles the life of a Temporal Agent sent on an intricate series of time-travel journeys designed to prevent future killers from committing their crimes. Now, on his final assignment, the Agent must stop the one criminal that has eluded him throughout time and prevent a devastating attack in which thousands of lives will be lost.","Science Fiction, Thriller",7.417,en,"mission, orphanage, pregnancy, bomber, secret organization, time travel, bartender, time machine, intersexuality, fate, terrorism, based on short story, loner, shocking, time paradox, philosophical, intersex, temporal agent, determinism, baffled, excited"
13192,Moonwalker,This fantastical movie inspired by the music of Michael Jackson features imaginative interpretations of hit tracks from the iconic 1987 album “Bad”.,"Fantasy, Music",7.091,en,"dancing, drug crime, gangster, entertainer, parody, stop motion, live performance, robot, claymation, live action and animation, empathetic"
897160,Brave Citizen,"An expelled boxing champion, who now is a high-school teacher, witnesses intolerable violence and throws her first punch to build justice against it, while putting on a mask.","Action, Drama, Comedy",7.611,ko,"secret identity, female fighter, female teacher, anti-bullying, female superhero, based on webcomic or webtoon, south korean"
2268,The Golden Compass,"In a parallel universe, after overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.","Adventure, Fantasy",6.087,en,"compass, experiment, england, polar bear, airship, steampunk, animals, alternate universe, based on young adult novel"
11852,The Hot Chick,"Not only is Jessica Spencer the most popular girl in school -- she is also the meanest. But things change for the attractive teen when a freak accident involving a cursed pair of earrings and a chance encounter at a gas station causes her to switch bodies with Clive, a sleazy crook. Jessica, in the form of the repulsive Clive, struggles to adjust to this radical alteration and sets out to get her own body back before the upcoming prom.","Comedy, Fantasy",6.37,en,"sexual identity, high school, friendship, jewelry, identity, gatekeeper, shopping mall, bullying, human body, thief, crude humor, prom, curse, best friend, body-swap, popular girl, pathetic, demeaning"
9325,The Jungle Book,"The boy Mowgli makes his way to the man-village with Bagheera, the wise panther. Along the way he meets jazzy King Louie, the hypnotic snake Kaa and the lovable, happy-go-lucky bear Baloo, who teaches Mowgli ""The Bare Necessities"" of life and the true meaning of friendship.","Family, Animation, Adventure",7.282,en,"based on novel or book, narration, human animal relationship, cartoon, villain, musical, feral child, coming of age, anthropomorphism, jungle, orphan, india, animal lead"
488909,Intrude The Widow Village at Midnight,Six friends stranded at midnight in a remote village face deadly danger.,"Horror, Mystery",0.0,zh,
864370,Incantation,Inspired by the true story of a family who believed they were possessed by spirits. This film follows a woman who must protect her child from a curse.,Horror,6.833,zh,"curse, occult, religious cult, found footage, pov (point of view), supernatural horror, pseudo-documentary, horrified, found footage adjacent"
68724,Elysium,"In the year 2159, two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Rhodes, a hard line government official, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in, by any means they can. When unlucky Max is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life, but could bring equality to these polarized worlds.","Science Fiction, Action, Drama, Thriller",6.523,en,"future, capitalism, dystopia, space station, class conflict, late stage capitalism, health inequality, social inequality, wealth inequality"
10895,Pinocchio,"When the gentle woodcarver Geppetto builds a marionette to be his substitute son, a benevolent fairy brings the toy to life. The puppet, named Pinocchio, is not yet a human boy. He must earn the right to be real by proving that he is brave, truthful, and unselfish.","Animation, Family, Fantasy",7.111,en,"rescue, sea, child abuse, based on novel or book, magic, whale, italy, donkey, lie, fairy, fox, cartoon, villain, carnival, wish, puppet, nose, conscience, wish fulfillment, toy comes to life, animal cruelty, child slavery, pool, boy, cartoon donkey, pinocchio"
1538,Collateral,Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.,"Drama, Crime, Thriller",7.243,en,"taxi, police, hitman, hostage, self-fulfilling prophecy, taxi driver, fbi, nightclub, briefcase, sociopath, train, professional hit, one night, gun violence, lapd, contract killer, neo-noir, cabbie, frantic, federal prosecutor, dreary, taxi ride, car, suspense thriller, los angeles airport (lax), bold"
10543,Fear,"Nicole Walker always dreamed of being swept away by someone special — someone strong, sexy and sensitive who would care for her more than anything else in the world. David is all that and more: a modern-day knight who charms and seduces her, body and soul. But her perfect boyfriend is not all he seems to be. His sweet facade masks a savage, dark side that will soon transform Nicole's dream into a nightmare.","Thriller, Horror",6.633,en,"psychopath, father, loss of virginity, teenage girl, psychological thriller, home invasion, split personality, ax"
37257,Witness for the Prosecution,An ailing barrister is thrust back into the courtroom in what becomes one of the most unusual and eventful murder cases of the lawyer's career when he finds himself defending a man being tried for the murder of a socialite.,"Drama, Mystery, Crime",8.2,en,"based on novel or book, nurse, widow, cigarette, letter, trial, murder, lawyer, courtroom, murder mystery, tiki culture, suspicious"
75612,Oblivion,"Jack Harper is one of the last few drone repairmen stationed on Earth. Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete. His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft. Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.","Action, Science Fiction, Adventure, Mystery",6.681,en,"spacecraft, dystopia, post-apocalyptic future, based on comic, space, drone, surveillance, human vs alien, 2070s"
69403,The Nurse in the Military Madhouse,"A story about a singer/showgirl who poses as a nurse to recover some stolen paintings, which for some reason are hidden in a military insane asylum.",Comedy,5.1,it,
173185,It Boy,"38-year-old Alice has everything to become the next editor-in-chief of Rebelle magazine except for her uptight image. But when the young and charming Balthazar, barely 20, crosses Alice's path, she realizes that he holds the key to her promotion.",Comedy,6.502,fr,amused
2034,Training Day,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.","Action, Crime, Drama",7.524,en,"drug dealer, california, police brutality, poker, bratva (russian mafia), war on drugs, drug trafficking, police corruption, los angeles, california, gang member, rookie cop, narcotics cop, mexican american, cholo, neo-noir, admiring, audacious"
1147411,"Miraculous World: Tokyo, Stellar Force","Kagami drags Marinette to Tokyo to help the Stellars defeat a new supervillain, but Marinette soon realizes her friend has another, untold reason for this trip to Japan.","Animation, Family, Action, Adventure, Fantasy",8.5,fr,"friendship, magic, superhero, mecha, tokyo, japan, kaiju, kids, based on tv series"
2270,Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity.","Adventure, Fantasy, Romance, Family",7.29,en,"witch, new love, based on novel or book, kingdom, transformation, prince, beauty, wall, falling star, goat, royalty, unrequited love, pirate, fratricide, air pirate, turned into animal"
136676,The Nest,"In a town near Salamanca, an eccentric widower, aged 60, is captivated by an imp, a precocious 13 year old. Alejandro is wealthy and alone, passing time with music, chess, and his shotgun. Gregoria (Goyita) the daughter of a weak-willed policeman and his bullying wife, is a budding naturalist who conspires to meet Alejandro. Even though he knows the village is talking, Alejandro spends time with Goyita, on walks, horseback rides, and dinners. He's enchanted and tells his friend the village priest that he's living for the first time. Goyita makes new demands on Alejandro, and he must decide how to be true to his ethics and to this Platonic yet highly-charged relationship.",Drama,6.5,es,"small town, teenage girl, older man younger woman relationship"
88751,Journey to the Center of the Earth,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.","Action, Science Fiction, Adventure, Comedy, Family",6.091,en,"based on novel or book, volcano, iceland, prehistory, prehistoric creature, dinosaur"
1239193,Deep Cover,"Kat is an improv comedy teacher beginning to question if she’s missed her shot at success. When an undercover cop offers her the role of a lifetime, she recruits two of her students to infiltrate London’s gangland by impersonating dangerous criminals.","Action, Comedy, Crime",6.704,en,"drug dealer, london, england, comedian, organized crime, infiltration, undercover operation, hit by a car, sting operation, buddy comedy, met police, improv group"
21835,A Chinese Odyssey Part Two: Cinderella,"This sequel to ""Pandora's Box"" continues director Jeffrey Lau's adaptation of the Buddhism saga ""Journey to the West"". Stranded five centuries in the past, Joker Monkey King must battle a variety of monsters, seductive women and super-powered villains to save the dying Pak Jing-Jing.","Action, Adventure, Fantasy, Comedy, Romance, Drama",7.729,cn,"martial arts, based on novel or book, monk, sequel, king, monkey, journey, monkey king"
